Model,Score LOPO 1,Score LOPO 2,Score LOPO 3,Average LOPO Score,K-Fold Score 1,K-Fold Score 2,K-Fold Score 3,K-Fold Score 4,Average K-Fold Score,Average K-Fold Score Participant 1,Average K-Fold Score Participant 2,Average K-Fold Score Participant 3
SVM,0.9827586206896551,0.85,0.6833333333333333,0.8386973180076628,1.0,0.9777777777777777,1.0,0.9772727272727273,0.9887626262626263,0.9814814814814815,1.0,1.0
Random Forest,0.9137931034482759,0.8,0.6666666666666666,0.7934865900383142,0.9777777777777777,0.9777777777777777,1.0,1.0,0.9888888888888889,0.9629629629629629,0.9833333333333334,0.9833333333333334
