Model,Score LOPO 1,Score LOPO 2,Score LOPO 3,Average LOPO Score,K-Fold Score 1,K-Fold Score 2,K-Fold Score 3,K-Fold Score 4,Average K-Fold Score,Average K-Fold Score Participant 1,Average K-Fold Score Participant 2,Average K-Fold Score Participant 3
SVM,0.9482758620689655,0.8,0.6666666666666666,0.8049808429118773,1.0,0.9777777777777777,0.9772727272727273,1.0,0.9887626262626263,0.9833333333333334,1.0,1.0
Random Forest,0.9137931034482759,0.65,0.6666666666666666,0.7434865900383142,1.0,0.9777777777777777,0.9772727272727273,1.0,0.9887626262626263,0.9814814814814815,0.9666666666666667,1.0
