Model,Score LOPO 1,Score LOPO 2,Score LOPO 3,Average LOPO Score,K-Fold Score 1,K-Fold Score 2,K-Fold Score 3,K-Fold Score 4,Average K-Fold Score,Average K-Fold Score Participant 1,Average K-Fold Score Participant 2,Average K-Fold Score Participant 3
SVM,0.8793103448275862,0.7666666666666667,0.6166666666666667,0.7542145593869732,0.9777777777777777,1.0,1.0,1.0,0.9944444444444445,0.9833333333333334,1.0,1.0
Random Forest,0.9310344827586207,0.6166666666666667,0.7166666666666667,0.7547892720306514,1.0,1.0,0.9772727272727273,1.0,0.9943181818181819,0.9833333333333334,1.0,0.9833333333333334
