Model,Score LOPO 1,Score LOPO 2,Score LOPO 3,Average LOPO Score,K-Fold Score 1,K-Fold Score 2,K-Fold Score 3,K-Fold Score 4,Average K-Fold Score,Average K-Fold Score Participant 1,Average K-Fold Score Participant 2,Average K-Fold Score Participant 3
SVM,0.6896551724137931,0.7,0.5333333333333333,0.6409961685823755,1.0,1.0,1.0,1.0,1.0,0.9814814814814815,1.0,1.0
Random Forest,0.7931034482758621,0.6,0.55,0.6477011494252874,0.9333333333333333,1.0,1.0,1.0,0.9833333333333334,0.9814814814814815,1.0,1.0
