Model,Score LOPO 1,Score LOPO 2,Score LOPO 3,Average LOPO Score,K-Fold Score 1,K-Fold Score 2,K-Fold Score 3,K-Fold Score 4,Average K-Fold Score,Average K-Fold Score Participant 1,Average K-Fold Score Participant 2,Average K-Fold Score Participant 3
SVM,0.6551724137931034,0.6833333333333333,0.5,0.6128352490421456,0.9777777777777777,1.0,1.0,1.0,0.9944444444444445,0.9666666666666667,1.0,1.0
Random Forest,0.8620689655172413,0.65,0.4166666666666667,0.6429118773946361,1.0,0.9777777777777777,1.0,1.0,0.9944444444444445,0.9833333333333334,1.0,1.0
