time,seconds_elapsed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1774472687676942800,0.07494287109375,0.0087695819109678,0.1611784039497375,0.7005092989094555,0.090937502682209,0.0085011413320899,0.0587553456425666
1774472687686970600,0.084970703125,0.0025625439643859,0.1198398468673229,0.7387891990736126,0.091646172106266,0.0253562871366739,0.0372327454388141
1774472687696999000,0.0949990234375,-0.049763855600357,0.0907873553842306,0.7992186063993721,0.1014173179864883,0.003076089778915,-0.0137506425380706
1774472687707025700,0.105025634765625,-0.1498264043301344,0.1023041901767253,0.846465583807975,0.1265730112791061,-0.0304413884878158,-0.060335986316204
1774472687717053700,0.1150537109375,-0.108828623509407,0.118267482984066,0.8861497978121041,0.1494136452674865,-0.0426682122051715,-0.0948769748210907
1774472687727081700,0.125081787109375,-0.026531448572874,0.1339753397256136,0.9378440369531512,0.1745086163282394,-0.0361586473882198,-0.1214076429605484
1774472687737109800,0.13510986328125,-0.0225695592045784,0.1283855568945408,0.9711099083475768,0.197123646736145,-0.0269515663385391,-0.1472677290439605
1774472687747137800,0.1451376953125,-0.0690858111858367,0.0450929411798715,0.9085967535503208,0.2056414932012558,0.0024686378892511,-0.1760852634906768
1774472687757165600,0.15516552734375,-0.0639513709068298,0.0342313554257154,0.920736834807694,0.1928795427083969,0.0405398793518543,-0.2082093358039856
1774472687767192800,0.16519287109375,-0.0799158327579498,0.0821177267163991,0.9327757937781512,0.1672785729169845,0.0566373541951179,-0.2230138480663299
1774472687777220600,0.175220703125,-0.102772976732254,0.1153314295321703,0.9524982929885388,0.13674096763134,0.0294837951660156,-0.213833749294281
1774472687787249000,0.185248779296875,-0.1530360140264034,0.1440174257904291,0.9847304374210536,0.1103756725788116,-0.0113049140200018,-0.1985152512788772
1774472687797276700,0.195276611328125,-0.2737637496441603,0.1831780543118715,1.0122938593901694,0.0891663208603859,-0.0556654259562492,-0.1822138726711273
1774472687807305000,0.205304931640625,-0.5685428147882223,0.1471200679808855,1.0395469733010978,0.0823784545063972,-0.0853476896882057,-0.1772132515907287
1774472687817331700,0.215331787109375,-0.6881710647314786,0.1351952369093894,0.93030436216332,0.0950470864772796,-0.0191066302359104,-0.1599777340888977
1774472687827359700,0.22535986328125,-0.4781260462820529,0.2344581596940755,0.7351550803549587,0.1244987174868583,0.1119840070605278,-0.1343591958284378
1774472687837388000,0.235387939453125,-0.3734937054187059,0.3539689207375049,0.6451767032660544,0.1600846350193023,0.1874324828386306,-0.1005860492587089
1774472687847416000,0.245416015625,-0.4920651397854089,0.3802332428067922,0.6091853524304927,0.2092929184436798,0.1823865920305252,-0.0640117973089218
1774472687857444000,0.255444091796875,-0.64885436886549,0.3286164528161287,0.619412804999575,0.2481409162282943,0.1205607280135154,-0.0324431285262107
1774472687867471000,0.26547119140625,-0.7383966926246881,0.2800029362946749,0.77233637162745,0.2629992067813873,0.0659579336643219,-0.0029169260524213
