time,seconds_elapsed,z,y,x
1774472074673301500,0.061301513671875,-0.9057464599609375,-0.2288360595703125,0.2272796630859375
1774472074683315500,0.0713154296875,-1.0043487548828125,-0.248443603515625,0.253997802734375
1774472074693328400,0.081328369140625,-1.08544921875,-0.234710693359375,0.2211761474609375
1774472074703342300,0.09134228515625,-1.1250762939453125,-0.20501708984375,0.1539154052734375
1774472074713355500,0.10135546875,-1.169830322265625,-0.193206787109375,0.1251220703125
1774472074723369500,0.111369384765625,-1.2151031494140625,-0.1887359619140625,0.11248779296875
1774472074733382400,0.12138232421875,-1.254913330078125,-0.19561767578125,0.0949554443359375
1774472074743395600,0.1313955078125,-1.3056182861328125,-0.1913604736328125,0.0871429443359375
1774472074753409300,0.1414091796875,-1.35003662109375,-0.2032928466796875,0.0810699462890625
1774472074763422500,0.15142236328125,-1.3816070556640625,-0.2182159423828125,0.0176849365234375
1774472074773436700,0.161436767578125,-1.3209075927734375,-0.111541748046875,-0.061004638671875
1774472074783449300,0.171449462890625,-1.1950836181640625,0.036285400390625,0.0098724365234375
1774472074793463600,0.181463623046875,-1.0659637451171875,-0.0807037353515625,0.079193115234375
1774472074803476500,0.1914765625,-0.9463653564453125,-0.23876953125,0.242462158203125
1774472074813489400,0.201489501953125,-0.8248748779296875,-0.39349365234375,0.346038818359375
1774472074823503600,0.211503662109375,-0.6973724365234375,-0.5202178955078125,0.253448486328125
1774472074833516300,0.221516357421875,-0.446685791015625,-0.569549560546875,0.043304443359375
1774472074843530500,0.231530517578125,-0.38787841796875,-0.590789794921875,-0.10845947265625
1774472074853543400,0.24154345703125,-0.493194580078125,-0.490478515625,-0.1757965087890625
1774472074863557600,0.2515576171875,-0.5025177001953125,-0.447235107421875,-0.22509765625
1774472074873570600,0.261570556640625,-0.5634918212890625,-0.419281005859375,-0.252044677734375
1774472074883583500,0.27158349609375,-0.60369873046875,-0.367706298828125,-0.173797607421875
1774472074893597400,0.281597412109375,-0.57415771484375,-0.38287353515625,-0.050567626953125
1774472074903610400,0.2916103515625,-0.5732574462890625,-0.3701629638671875,0.105438232421875
1774472074913624600,0.30162451171875,-0.5775299072265625,-0.2948455810546875,0.1929473876953125
1774472074923637500,0.311637451171875,-0.5428619384765625,-0.2315521240234375,0.19512939453125
1774472074933651500,0.3216513671875,-0.537017822265625,-0.220855712890625,0.178131103515625
1774472074943664600,0.33166455078125,-0.57122802734375,-0.238555908203125,0.1911468505859375
1774472074953677300,0.34167724609375,-0.7805633544921875,-0.2955474853515625,0.5319366455078125
1774472074963691500,0.35169140625,-1.3412628173828125,-0.4873809814453125,1.4624786376953125
1774472074973704700,0.36170458984375,-1.4217376708984375,-0.565826416015625,1.5225372314453125
1774472074983718400,0.371718505859375,-1.114776611328125,-0.18719482421875,0.432037353515625
1774472074993731600,0.381731689453125,-0.99700927734375,-0.134857177734375,0.047607421875
1774472075003744300,0.391744140625,-1.051483154296875,-0.242034912109375,-0.0658721923828125
1774472075013758500,0.401758544921875,-1.0368804931640625,-0.270751953125,-0.2209930419921875
1774472075023771600,0.411771728515625,-1.1240234375,-0.32012939453125,-0.2527618408203125
1774472075033785600,0.42178564453125,-1.203765869140625,-0.31744384765625,-0.1670989990234375
1774472075043798500,0.431798583984375,-1.1400146484375,-0.329254150390625,-0.1537933349609375
1774472075053812500,0.4418125,-1.1202850341796875,-0.2939300537109375,-0.0992431640625
1774472075063825400,0.451825439453125,-1.169586181640625,-0.2273712158203125,0.0512847900390625
1774472075073838600,0.461838623046875,-1.11993408203125,-0.1816253662109375,0.114898681640625
1774472075083852500,0.4718525390625,-1.042327880859375,-0.18267822265625,0.0548858642578125
1774472075093865500,0.481865478515625,-1.0015716552734375,-0.234527587890625,-0.0641632080078125
1774472075103879400,0.49187939453125,-1.027923583984375,-0.2646636962890625,-0.1903533935546875
1774472075113892600,0.501892578125,-1.051055908203125,-0.3025360107421875,-0.3543701171875
1774472075123906300,0.51190625,-1.1293487548828125,-0.30224609375,-0.382781982421875
1774472075133919500,0.52191943359375,-1.203857421875,-0.28515625,-0.269500732421875
1774472075143932700,0.5319326171875,-1.193389892578125,-0.23089599609375,-0.232025146484375
1774472075153946400,0.5419462890625,-1.148590087890625,-0.20245361328125,-0.2045745849609375
1774472075163959600,0.55195947265625,-1.0807037353515625,-0.232391357421875,-0.2143402099609375
1774472075173973500,0.561973388671875,-1.0179901123046875,-0.2698211669921875,-0.251556396484375
1774472075183986400,0.571986328125,-0.9231414794921875,-0.289031982421875,-0.2954559326171875
1774472075194000400,0.58200048828125,-0.844879150390625,-0.3256072998046875,-0.3407440185546875
1774472075204013300,0.592013427734375,-0.8545989990234375,-0.3720550537109375,-0.3757171630859375
1774472075214026500,0.602026611328125,-0.8850250244140625,-0.419677734375,-0.3825225830078125
1774472075224040400,0.61204052734375,-0.8836669921875,-0.445892333984375,-0.3393402099609375
1774472075234053400,0.622053466796875,-0.845062255859375,-0.4827880859375,-0.2913665771484375
1774472075244067300,0.6320673828125,-0.73468017578125,-0.520965576171875,-0.3135223388671875
1774472075254080500,0.64208056640625,-0.6271820068359375,-0.545654296875,-0.3081817626953125
1774472075264094500,0.652094482421875,-0.55548095703125,-0.5802764892578125,-0.305694580078125
1774472075274107400,0.662107421875,-0.4856414794921875,-0.5985260009765625,-0.300506591796875
1774472075284120600,0.67212060546875,-0.466033935546875,-0.551605224609375,-0.2762908935546875
