time,seconds_elapsed,z,y,x
1774470098301689600,0.063689697265625,0.12123388051986694,0.022478122264146805,0.23003728687763214
1774470098311706600,0.07370654296875,0.18580159544944763,-0.02808825671672821,0.25217652320861816
1774470098321723600,0.0837236328125,0.23761606216430664,-0.12537114322185516,0.27367833256721497
1774470098331740700,0.09374072265625,0.26322853565216064,-0.21587719023227692,0.285844624042511
1774470098341757400,0.10375732421875,0.26217231154441833,-0.2731391489505768,0.2829582989215851
1774470098351774700,0.113774658203125,0.2543581426143646,-0.21031007170677185,0.28078991174697876
1774470098361791500,0.12379150390625,0.2689906060695648,0.05036759003996849,0.3039162755012512
1774470098371808500,0.13380859375,0.36246874928474426,0.3791351616382599,0.3416445851325989
1774470098381826600,0.14382666015625,0.5680443048477173,0.7634868025779724,0.3506769835948944
1774470098391843600,0.153843505859375,0.8160187005996704,0.9294612407684326,0.3826119601726532
1774470098401860600,0.163860595703125,1.0801923274993896,0.8536367416381836,0.4749986231327057
1774470098411877600,0.173877685546875,1.3294892311096191,0.5596922039985657,0.5905747413635254
1774470098421894700,0.183894775390625,1.5434092283248901,0.08945950120687485,0.7040514945983887
1774470098431911700,0.19391162109375,1.7055169343948364,-0.4352360963821411,0.8036364316940308
1774470098441928700,0.2039287109375,1.8122657537460327,-0.9472576379776001,0.9049845933914185
1774470098451945500,0.213945556640625,1.8598296642303467,-1.4228489398956299,1.0224812030792236
1774470098461963800,0.2239638671875,1.8683489561080933,-1.8658716678619385,1.1492948532104492
1774470098471980500,0.23398046875,1.8954612016677856,-2.3332457542419434,1.248408317565918
1774470098481997800,0.243997802734375,1.9192816019058228,-2.8230960369110107,1.3398959636688232
1774470098492014600,0.2540146484375,1.9449243545532227,-3.354461193084717,1.408581256866455
1774470098502031600,0.264031494140625,1.9637012481689453,-3.7371935844421387,1.4192416667938232
1774470098512048600,0.274048583984375,1.957938313484192,-3.518555164337158,1.283400297164917
1774470098522065700,0.284065673828125,1.9510002136230469,-2.781545639038086,1.2107237577438354
1774470098532082400,0.29408251953125,1.9856963157653809,-1.9919756650924683,1.1176509857177734
1774470098542100700,0.304100830078125,1.9990500211715698,-1.6172733306884766,0.8617188334465027
1774470098552117500,0.314117431640625,1.966291904449463,-1.3116205930709839,0.6062959432601929
1774470098562134800,0.324134765625,1.641947627067566,-0.11218877136707306,0.6248104572296143
1774470098572151600,0.334151611328125,1.002612590789795,0.5803412795066833,0.8149734735488892
1774470098582168600,0.34416845703125,0.2558196187019348,-0.5587760806083679,0.7424857020378113
1774470098592185900,0.354185791015625,-0.7307630181312561,-1.4397342205047607,0.5720153450965881
1774470098602202600,0.36420263671875,-1.4138141870498657,-1.397502064704895,0.233663409948349
1774470098612219600,0.3742197265625,-1.6320723295211792,-0.9606794118881226,-0.15718074142932892
1774470098622237700,0.38423779296875,-1.6220183372497559,-0.44093161821365356,-0.4062342345714569
1774470098632254500,0.39425439453125,-1.5492571592330933,-0.025853175669908524,-0.5391557216644287
1774470098642271200,0.404271240234375,-1.4987783432006836,0.12094666063785553,-0.5539663434028625
1774470098652288500,0.41428857421875,-1.4359662532806396,-0.4570627510547638,-0.28823670744895935
1774470098662305300,0.42430517578125,-1.3047528266906738,-0.7524077892303467,0.18443363904953003
1774470098672322600,0.434322509765625,-1.0086028575897217,-0.928620457649231,0.6423583030700684
1774470098682339300,0.44433935546875,-0.6529502272605896,-0.8995382189750671,0.862654983997345
1774470098692356400,0.4543564453125,-0.3805079162120819,-0.7590528130531311,0.849859893321991
1774470098702374400,0.46437451171875,-0.23860882222652435,-0.9326517581939697,0.7409358024597168
1774470098712391400,0.474391357421875,-0.28794729709625244,-1.173841953277588,0.5276104211807251
1774470098722408200,0.484408203125,-0.43386003375053406,-1.210525393486023,0.08088275045156479
1774470098732425500,0.494425537109375,-0.4766945540904999,-1.152335524559021,-0.2966475486755371
1774470098742442500,0.5044423828125,-0.4249517321586609,-1.1201677322387695,-0.4681205153465271
1774470098752459300,0.514459228515625,-0.25830787420272827,-1.0585525035858154,-0.4614415466785431
1774470098762476500,0.5244765625,-0.033179931342601776,-0.941211998462677,-0.3287604749202728
1774470098772494300,0.534494384765625,0.1840721070766449,-0.7665694355964661,-0.19468486309051514
1774470098782511400,0.544511474609375,0.32053008675575256,-0.6653751730918884,-0.1924736499786377
1774470098792528400,0.5545283203125,0.35783934593200684,-0.6423408389091492,-0.36544913053512573
