time,seconds_elapsed,imu1_accel_x,imu1_accel_y,imu1_accel_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu2_accel_x,imu2_accel_y,imu2_accel_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu3_accel_x,imu3_accel_y,imu3_accel_z,imu3_gyro_x,imu3_gyro_y,imu3_gyro_z
1774473100615696100,161.88569604492187,0.055683308777213,0.101046006809175,0.0992144074678421,0.0142293013632297,0.0186393894255161,0.0410532169044017,0.0109133159413933,-0.0231055657774209,0.0316524448484182,-0.0245402362197637,-0.0350293740630149,0.026265949010849,-0.0085039167121052,-0.0960088894248008,-0.039586452718079,-0.01055852137506,0.0153983309864997,-0.004433006979525
1774473100625724200,161.89572412109376,0.0801797443911433,0.0902674231633543,0.1073112046837806,0.013380286283791,0.0207246430218219,0.0472812838852405,0.0739525404393672,0.0483814613312482,0.0662836132466793,-0.0247306916862726,-0.047934990376234,0.0214956905692815,0.0124120300665497,-0.0906365487366914,-0.0280661107942461,-0.0070806993171572,0.0100027676671743,-0.0036540329456329
1774473100635751000,161.9057509765625,0.0810004131242632,0.069310121461004,0.097834351286292,0.0140774603933095,0.0246901512145996,0.0508703999221324,0.1025908981636166,0.0610217471957206,0.0841910258591175,-0.0188480354845523,-0.0554757304489612,0.0106781972572207,-0.0056812605068087,-0.0709112730473279,0.0007129705749452,-0.0019629022572189,0.002711032051593,0.0033149272203445
1774473100645779200,161.915779296875,0.073083940911293,0.0561155627146363,0.0787187319278717,0.0139823863282799,0.0237780194729566,0.0600907951593399,0.1276902681067586,0.0398164620816707,0.0380588047593832,-0.0176641214638948,-0.0607253536581993,0.001369833596982,-0.0339908246681094,-0.028351649737358,-0.0090527827665209,-0.0008539941627532,0.0089411092922091,0.0076373424381017
1774473100655807000,161.92580688476562,0.0568558596879243,0.0508517969675362,0.0704845720678567,0.0164299309253692,0.0204654596745967,0.0635923221707344,0.1299532446026802,-0.0120335521429777,-0.0179974289834499,-0.0241957884281873,-0.0556581579148769,-0.0103805651888251,-0.026320728431642,-0.0085310969799757,-0.0397153397947549,-0.0016561383381485,0.0121382344514131,0.004880438093096
1774473100665835300,161.93583520507812,0.0442915616691112,0.0566506925046443,0.0478115524888038,0.0189261119812726,0.0205533429980278,0.065829649567604,0.1171376021713018,-0.0387274978011846,-0.0843196206748485,-0.0323172807693481,-0.0457969531416893,-0.0236358828842639,-0.0148334119945764,-0.0371311685204505,-0.0899148103334009,-0.004493311047554,0.0159138534218072,0.0030626687221229
1774473100675862000,161.9458620605469,0.0521916672691702,0.0681143358051776,0.027137597772479,0.0229123868048191,0.0203232038766145,0.0590346045792102,0.0317506445258855,-0.0394721786886453,-0.1447346341490745,-0.0391434952616691,-0.026180375367403,-0.0271033160388469,0.0006084872871637,-0.0699514881044626,-0.1215330606512725,-0.0099623790010809,0.0285068769007921,0.0024165860377252
1774473100685890300,161.9558903808594,0.0472466120824217,0.0881511616617441,0.0366559522241353,0.0266578570008277,0.0217181667685508,0.0551083125174045,-0.0456792166352272,-0.0515127450942993,-0.1274064827293157,-0.0408004634082317,-0.008570984005928,-0.0242435000836849,0.0204036133423447,-0.0695551822632551,-0.0582731791399419,-0.0083588417619466,0.0403094664216041,0.0057245078496634
1774473100695918000,161.96591796875,0.05554916100353,0.0948433527767658,0.0503016157388687,0.0311522372066974,0.0253568459302186,0.0538899041712284,-0.0615326193273067,-0.0296820215582847,-0.0749912358373403,-0.0358256809413433,-0.0024947151541709,-0.0172367207705974,0.0210252523720264,-0.0739174691259861,0.0137200439251959,-0.0046005891636013,0.0389531180262565,-0.0008178134448826
1774473100705945900,161.97594580078126,0.061386488854885,0.1296674133986234,0.0536906736552715,0.0276240818202495,0.0245262049138546,0.0492014102637767,-0.0734510206580162,-0.022227029377222,0.0111795656621456,-0.0249831918627023,-0.0010429670801386,-0.0021916194818913,-0.0029033202260732,-0.022236381727457,0.0262345114529132,-0.0084038479253649,0.039004348218441,-0.0004587904550135
1774473100715974100,161.98597412109376,0.0518193268254399,0.1378273389786481,0.0544382771521806,0.0260977949947118,0.0228744186460971,0.0471418313682079,-0.0832224730879068,0.0359936889231205,-0.0084065938174724,-0.0101826749742031,-0.0024981182068586,0.0109257800504565,-0.0209296830430626,0.0360293447583913,0.0355669879436492,-0.0111240008845925,0.0334950685501098,-0.0014500189572572
1774473100726001200,161.99600122070314,0.0194525962278246,0.1562279419355094,0.046613867136836,0.0236777793616056,0.0222395211458206,0.0429617352783679,-0.0654106298044324,0.0288338802963495,-0.0545826540589332,0.0049933874979615,0.0003612587170209,0.0171747803688049,-0.0188844409510493,0.0889104555964469,0.0254817933894693,-0.0109640285372734,0.0292335264384746,0.0001812330447137
1774473100736029200,162.006029296875,-0.0094724694833159,0.168895700328797,0.0378378554850816,0.0218367725610733,0.0210578180849552,0.0372247546911239,-0.0421601025983691,-0.0259001649320125,-0.0604237813025712,0.0112355714663863,0.0087938914075493,0.0225008353590965,-0.0254629425585269,0.0812608176261186,0.0138870710551738,-0.007939476519823,0.0229830853641033,0.0042806370183825
1774473100746057000,162.01605688476562,-0.0165849318370223,0.1865501610934734,0.0165191731244325,0.0185301918536424,0.0169128738343715,0.0319282598793506,-0.0045122167274355,-0.0572755464047193,-0.0675111092150211,0.0154117401689291,0.0243542548269033,0.0190804824233055,0.0064019759967923,0.0533534045249223,-0.0083671385899186,-0.0062667150050401,0.019468879327178,0.0138522945344448
1774473100756085200,162.02608520507812,-0.0160793204024434,0.1995727242738008,0.0219277541697025,0.0177800953388214,0.0112646482884883,0.0280089862644672,0.0047749593168497,-0.0449403809666633,-0.0657668958961963,0.0172005854547023,0.0353682897984981,0.0139624178409576,0.0224018014222383,0.0430588050037622,0.0329341552220284,-0.0117725348100066,0.0187668707221746,0.0209557451307773
1774473100766113000,162.03611303710937,0.0094210315570235,0.1893545509897172,0.0308458046406507,0.0178773012012243,0.0102337384596467,0.0244193114340305,-0.010913900463283,-0.0619558131754398,-0.0108218382656574,0.0170103032141923,0.0480845272541046,0.0115047022700309,0.022585049034655,0.0232411748558282,0.0539737283803522,-0.0168451908975839,0.0078864004462957,0.0291421208530664
1774473100776140000,162.04614013671875,0.0144847446873784,0.1691729098349809,0.0336661227583885,0.0168500430881977,0.0136334747076034,0.0183775331825017,0.0054641106247901,-0.0439630603671073,0.0243511819243431,0.0156195992603898,0.0532633103430271,0.0112450439482927,0.0268365689992904,-0.0226057995617389,0.0264407015495002,-0.0124507080763578,0.000421826262027,0.0314702540636062
1774473100786168000,162.05616796875,0.0086880411073565,0.1497765738390386,0.0413087464660406,0.015506743453443,0.0119868423789739,0.0158288870006799,-0.0280126270413398,-0.0130097036987543,0.0623164631813764,0.0092457896098494,0.051972609013319,0.0107077118009328,0.0407537429317831,-0.0750222154974937,0.001404313839972,-0.0125092258676886,0.0016385279595851,0.0339464917778968
1774473100796196000,162.06619604492187,-0.010953063429892,0.1261304714441299,0.0384200392872095,0.0159932244569063,0.0115891750901937,0.0123767722398042,-0.0467693499594926,-0.0239554606050252,0.082699910518527,0.0049506435170769,0.0475373826920986,0.0143290786072611,0.0208081024900078,-0.0610977350413799,-0.01036941832304,-0.0140408100560307,0.0082367761060595,0.0360043160617351
1774473100806224100,162.07622412109376,-0.0072504095196723,0.0992670144379138,0.0459486812263727,0.0098144244402647,0.0105825001373887,0.0101210735738277,-0.0265583365797996,0.0199357035696506,0.0540758735805749,0.0030030738562345,0.0408235527575016,0.0167259238660335,0.0354582668721675,-0.0695972678393125,-0.0434802452862262,-0.0140426130965352,0.017278429120779,0.0350665040314197
1774473100816252000,162.086251953125,0.0017906828090548,0.0746444682262837,0.039286300727725,0.0090668424963951,0.0082025993615388,0.011452242732048,-0.025235271282494,0.0436158543646335,0.0365828869879245,-0.0008494548965245,0.0378594547510147,0.0156702473759651,0.051529988490045,-0.0952408276617527,-0.0397200159698724,-0.0159797966480255,0.021906204521656,0.0311745591461658
