time,seconds_elapsed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1773257345659314000,0.06831396484375,-0.0403109676003456,0.1189084112361073,-0.3327618820577859,-0.1807660907506942,0.1230742111802101,-0.0773721486330032
1773257345669326800,0.078326904296875,0.1277180328965187,0.126799749007821,-0.3104781540572643,-0.1818680316209793,0.1100856661796569,-0.1231975108385086
1773257345679338800,0.0883388671875,0.2516606389075517,0.1010959834307432,-0.2055439076378941,-0.190337136387825,0.059445921331644,-0.1990222334861755
1773257345689351700,0.0983515625,0.4099415678501129,0.0389674440369009,-0.1165475273236632,-0.2035108059644699,0.0120928836986422,-0.2922133207321167
1773257345699363600,0.108363525390625,0.5486673169732094,-0.0240495686292648,-0.1469292215839028,-0.2247364670038223,-0.0141459107398986,-0.372996062040329
1773257345709375700,0.118375732421875,0.6230939046651125,-0.1384419637456536,-0.3156096717268228,-0.2491243034601211,-0.0449072755873203,-0.4335684478282928
1773257345719388700,0.128388671875,0.5935317100942135,-0.2134282311469316,-0.4332265818476676,-0.2913223803043365,-0.1973194628953933,-0.4715586900711059
1773257345729400800,0.13840087890625,0.3753670980751514,-0.122430155621469,-0.4814981530636549,-0.3497601449489593,-0.4404901266098022,-0.518924355506897
1773257345739413800,0.148413818359375,0.0906710355281829,0.1214186404913663,-0.7075684236407279,-0.3751006424427032,-0.5712526440620422,-0.5208857655525208
1773257345749426000,0.158426025390625,-0.2331020689100027,0.1029188149437308,-0.733958125655353,-0.3960378766059875,-0.616477370262146,-0.4817008078098297
1773257345759437800,0.168437744140625,-0.5752081178963184,0.0034846272453665,-0.3634904900595546,-0.3902273774147033,-0.6201969981193542,-0.4087198078632355
1773257345769451000,0.178450927734375,-0.8871826479911804,0.1533110315755009,-0.2239095854118466,-0.3664382696151733,-0.4870859682559967,-0.3062151074409485
1773257345779463000,0.188462890625,-1.1310802516818046,0.0430497449144721,-0.3467357546135783,-0.3716689944267273,-0.172084093093872,-0.1634787023067474
1773257345789475800,0.198475830078125,-1.1697662484288216,-0.0310372355595231,-0.4322904700413346,-0.4041398167610168,0.1683852970600128,-0.0345719717442989
1773257345799487700,0.20848779296875,-1.1256477052390574,0.0766547851353883,-0.7419450327560305,-0.449523001909256,0.4761575162410736,0.053603958338499
1773257345809499600,0.218499755859375,-0.8832371252357959,0.233239431554079,-0.954405587914586,-0.5193241238594055,0.6257084608078003,0.0862052142620086
1773257345819512800,0.228512939453125,-0.5836445223301648,0.3444689787253737,-1.049886654073,-0.6230902075767517,0.6132919788360596,0.0385234504938125
1773257345829524700,0.238524658203125,-0.1587093834877014,0.2720060923218727,-1.3517217752084134,-0.7429937720298767,0.5597759485244751,-0.0449239164590835
1773257345839538000,0.248537841796875,0.2245008293032646,0.3352545756563544,-1.3813567427545783,-0.8136985301971436,0.5402443408966064,-0.1558352559804916
1773257345849549800,0.2585498046875,0.3505442069858312,0.4926759651601314,-0.5615989869996905,-0.8249907493591309,0.4929305016994476,-0.2634603083133697
