time,seconds_elapsed,z,y,x
1773258201542403600,0.074403564453125,0.007239803206175566,-0.1385408341884613,-0.26909539103507996
1773258201552430300,0.084430419921875,0.030281739309430122,0.15730945765972137,-0.32075485587120056
1773258201562456300,0.094456298828125,-0.0062672169879078865,-0.3010530471801758,-0.24113698303699493
1773258201572483600,0.104483642578125,-0.05224669352173805,-0.46915656328201294,-0.19613462686538696
1773258201582510600,0.114510498046875,-0.111758753657341,-0.6371487975120544,-0.15560877323150635
1773258201592536600,0.12453662109375,-0.14866910874843597,-0.7952763438224792,-0.02509363554418087
1773258201602563300,0.134563232421875,-0.17596544325351715,-0.8662781119346619,0.039268042892217636
1773258201612590600,0.144590576171875,-0.2279050648212433,-0.8488122820854187,0.08293989300727844
1773258201622616600,0.154616455078125,-0.30046290159225464,-0.8088923096656799,0.12564554810523987
1773258201632643600,0.1646435546875,-0.3898835778236389,-1.0390293598175049,0.23298931121826172
1773258201642670300,0.17467041015625,-0.5178042650222778,-0.9915734529495239,0.25398513674736023
1773258201652696300,0.1846962890625,-0.5691843628883362,-1.0647858381271362,0.26780107617378235
1773258201662723600,0.1947236328125,-0.589225172996521,-1.1847271919250488,0.1989959180355072
1773258201672750600,0.20475048828125,-0.5718563199043274,-1.469775676727295,0.10619887709617615
1773258201682776600,0.214776611328125,-0.6007729172706604,-1.7276087999343872,0.011808988638222218
1773258201692803300,0.22480322265625,-0.6822464466094971,-1.9322384595870972,-0.06361732631921768
1773258201702830600,0.23483056640625,-0.827195405960083,-1.9535146951675415,-0.0662786215543747
1773258201712856600,0.244856689453125,-0.9870045185089111,-1.8109945058822632,0.006194779183715582
1773258201722883600,0.254883544921875,-1.0575324296951294,-1.7509082555770874,0.1073075458407402
1773258201732910300,0.264910400390625,-1.0462665557861328,-1.7715803384780884,0.15620851516723633
1773258201742936300,0.274936279296875,-1.0014545917510986,-2.0331876277923584,0.15184226632118225
1773258201752963600,0.284963623046875,-0.9561320543289185,-2.3637032508850098,0.06305406987667084
1773258201762990600,0.294990478515625,-0.9571909308433533,-2.3881783485412598,-0.0901232361793518
1773258201773016600,0.3050166015625,-0.9225530624389648,-2.0832388401031494,-0.18992014229297638
1773258201783043300,0.315043212890625,-0.8035271167755127,-1.7312091588974,-0.17784935235977173
1773258201793070600,0.325070556640625,-0.6819258332252502,-1.6701297760009766,-0.1170792207121849
1773258201803096600,0.3350966796875,-0.6174368262290955,-1.5991456508636475,-0.12477415800094604
1773258201813123600,0.34512353515625,-0.5860227346420288,-1.167905330657959,-0.19184133410453796
1773258201823150300,0.355150390625,-0.5025891065597534,-0.5571750998497009,-0.26432138681411743
1773258201833176300,0.36517626953125,-0.3517007827758789,-0.024268055334687233,-0.25538304448127747
1773258201843203600,0.37520361328125,-0.21965458989143372,0.5042772889137268,-0.11508531123399734
1773258201853230600,0.385230712890625,-0.18076153099536896,0.8713961839675903,0.08954452723264694
1773258201863256600,0.395256591796875,-0.2088509500026703,0.9868242144584656,0.2597618103027344
1773258201873283300,0.405283447265625,-0.2511613965034485,0.9673189520835876,0.3237304091453552
1773258201883310600,0.415310546875,-0.25180667638778687,0.7253872752189636,0.32017719745635986
1773258201893336600,0.425336669921875,-0.22618919610977173,0.27253058552742004,0.276603639125824
1773258201903363600,0.435363525390625,-0.20632493495941162,-0.1683112531900406,0.16162511706352234
1773258201913390300,0.445390380859375,-0.17512814700603485,-0.5000966191291809,-0.026024144142866135
1773258201923416300,0.455416259765625,-0.1205032467842102,-0.6873922348022461,-0.18584710359573364
1773258201933443600,0.465443603515625,-0.06163113936781883,-0.7929002642631531,-0.31977081298828125
1773258201943470600,0.475470703125,0.03767946735024452,-0.8952703475952148,-0.472624272108078
1773258201953496600,0.48549658203125,0.12966212630271912,-0.9464077949523926,-0.5772236585617065
1773258201963523300,0.4955234375,0.12473767250776291,-0.767189621925354,-0.5589447617530823
1773258201973549300,0.50554931640625,0.07054021209478378,-0.39896202087402344,-0.425961434841156
1773258201983576600,0.51557666015625,0.040585242211818695,-0.06461068242788315,-0.206071674823761
1773258201993603600,0.525603515625,0.009528524242341518,0.12664476037025452,-0.01888687163591385
1773258202003629600,0.535629638671875,-0.01600106991827488,0.2640036940574646,0.13446326553821564
1773258202013656300,0.54565625,-0.012650281190872192,0.3131997287273407,0.2918984293937683
1773258202023683600,0.55568359375,0.07323959469795227,0.005662412848323584,0.49593091011047363
1773258202033709600,0.56570947265625,0.08878952264785767,-0.1390143483877182,0.6780586242675781
1773258202043736600,0.575736572265625,0.0974796861410141,-0.1984289288520813,0.7461383938789368
1773258202053763300,0.585763427734375,0.2170359045267105,-0.2696152329444885,0.7578656077384949
1773258202063789300,0.595789306640625,0.3299962878227234,-0.27794188261032104,0.7542322278022766
1773258202073816600,0.605816650390625,0.42422184348106384,-0.21243636310100555,0.7714397311210632
1773258202083843600,0.615843505859375,0.5204663872718811,-0.29607880115509033,0.7603559494018555
1773258202093870300,0.625870361328125,0.6075336337089539,-0.4258032441139221,0.7079284191131592
1773258202103896300,0.635896240234375,0.6952898502349854,-0.4927324652671814,0.6023907661437988
