time,seconds_elapsed,z,y,x
1773258201559949300,0.09194921875,0.015936080366373062,-0.27310189604759216,-0.2560615837574005
1773258201569976600,0.1019765625,-0.032957691699266434,-0.3400561511516571,-0.2285737544298172
1773258201580002600,0.11200244140625,-0.10222728550434113,-0.6094170212745667,-0.1833120882511139
1773258201590029600,0.122029541015625,-0.13992911577224731,-0.7888794541358948,-0.05645214766263962
1773258201600056300,0.132056396484375,-0.1639111191034317,-0.849747896194458,0.01808619312942028
1773258201610082300,0.142082275390625,-0.21284323930740356,-0.8476927876472473,0.06663268804550171
1773258201620109600,0.152109619140625,-0.28022509813308716,-0.8115150332450867,0.10294992476701736
1773258201630136600,0.162136474609375,-0.3631540834903717,-0.9444435238838196,0.19071467220783234
1773258201640162600,0.17216259765625,-0.4888097941875458,-1.0175600051879883,0.25144463777542114
1773258201650189300,0.182189208984375,-0.5611500144004822,-1.0463745594024658,0.26128607988357544
1773258201660216600,0.192216552734375,-0.5899466276168823,-1.1230769157409668,0.2108852118253708
1773258201670242600,0.20224267578125,-0.5728075504302979,-1.3878949880599976,0.12067674845457077
1773258201680269600,0.21226953125,-0.5861155390739441,-1.661350965499878,0.027138281613588333
1773258201690296300,0.22229638671875,-0.6526330709457397,-1.8874623775482178,-0.05465565249323845
1773258201700322300,0.232322265625,-0.7807455062866211,-1.9654351472854614,-0.08087396621704102
1773258201710349600,0.242349609375,-0.9545918703079224,-1.843308925628662,-0.023276180028915405
1773258201720376600,0.25237646484375,-1.0524846315383911,-1.731364369392395,0.07161970436573029
1773258201730402600,0.262402587890625,-1.0594030618667603,-1.718739628791809,0.1390104740858078
1773258201740429300,0.27242919921875,-1.0189567804336548,-1.912964105606079,0.14603617787361145
1773258201750456600,0.28245654296875,-0.9602543711662292,-2.296499252319336,0.08446361869573593
1773258201760482600,0.292482666015625,-0.9539954662322998,-2.409194231033325,-0.06240452826023102
1773258201770509600,0.302509521484375,-0.937706470489502,-2.1815569400787354,-0.18074607849121094
1773258201780536300,0.312536376953125,-0.8375281691551208,-1.7876046895980835,-0.20154379308223724
1773258201790562300,0.322562255859375,-0.7055104970932007,-1.6611729860305786,-0.13391654193401337
1773258201800589600,0.332589599609375,-0.624113917350769,-1.6346499919891357,-0.1280311644077301
1773258201810616600,0.342616455078125,-0.593935489654541,-1.30580735206604,-0.17697447538375854
1773258201820642600,0.352642578125,-0.5294259786605835,-0.6999483108520508,-0.26092782616615295
1773258201830669300,0.36266943359375,-0.3895772397518158,-0.14858101308345795,-0.27841654419898987
1773258201840696600,0.372696533203125,-0.24257364869117737,0.3815572261810303,-0.1690080612897873
1773258201850722600,0.38272265625,-0.17942264676094055,0.8108313679695129,0.03198337182402611
1773258201860749600,0.39274951171875,-0.19863031804561615,0.9787424802780151,0.2170277237892151
1773258201870776300,0.4027763671875,-0.24299085140228271,0.9952154755592346,0.3087230324745178
1773258201880802300,0.41280224609375,-0.2547634541988373,0.8201031684875488,0.31667011976242065
1773258201890829600,0.42282958984375,-0.23041602969169617,0.39429593086242676,0.282723069190979
1773258201900856600,0.432856689453125,-0.20827746391296387,-0.06001954525709152,0.19344282150268555
1773258201910882600,0.442882568359375,-0.18594180047512054,-0.42608726024627686,0.015091981738805771
1773258201920909300,0.452909423828125,-0.13511210680007935,-0.6469484567642212,-0.16347606480121613
1773258201930936600,0.4629365234375,-0.07652949541807175,-0.7630628347396851,-0.29327958822250366
1773258201940962600,0.472962646484375,0.009720364585518837,-0.865591287612915,-0.4451392889022827
1773258201950989600,0.482989501953125,0.1140635535120964,-0.9477934837341309,-0.5681147575378418
1773258201961015600,0.493015625,0.1360854059457779,-0.827903687953949,-0.5837125182151794
1773258201971042300,0.503042236328125,0.08358198404312134,-0.4963931739330292,-0.47626757621765137
1773258201981069600,0.513069580078125,0.04764231666922569,-0.12707401812076569,-0.26767250895500183
1773258201991095600,0.523095458984375,0.017280152067542076,0.08919596672058105,-0.06796896457672119
1773258202001122600,0.53312255859375,-0.012158953584730625,0.239958718419075,0.08718256652355194
1773258202011149300,0.5431494140625,-0.015971267595887184,0.3262059986591339,0.24118731915950775
1773258202021175300,0.55317529296875,0.05787809193134308,0.11045878380537033,0.4349275529384613
1773258202031202600,0.56320263671875,0.09398842602968216,-0.12516359984874725,0.6370342969894409
1773258202041229600,0.5732294921875,0.08437282592058182,-0.17485615611076355,0.7281786203384399
