time,seconds_elapsed,imu1_accel_x,imu1_accel_y,imu1_accel_z,imu1_gyro_x,imu1_gyro_y,imu1_gyro_z,imu2_accel_x,imu2_accel_y,imu2_accel_z,imu2_gyro_x,imu2_gyro_y,imu2_gyro_z,imu3_accel_x,imu3_accel_y,imu3_accel_z,imu3_gyro_x,imu3_gyro_y,imu3_gyro_z
1773257640135076400,16.378076416015624,0.1366794110525399,0.0517624090064317,0.0225455938071012,0.0055119544267654,-0.0010555125772953,0.0012143906205892,0.5834025302678346,0.9521820666462184,-0.1007803050776943,1.1519352197647097,-0.059179276227951,-0.0858040153980255,0.8484417061865329,-0.2591109549134969,0.1530605639457702,-0.0355629846453666,-0.5020986795425415,-0.1054214909672737
1773257640145103000,16.38810302734375,0.1427881762564182,0.0399193014016374,0.0442921461910009,0.0041767219081521,-0.0003076423890888,0.0034559108316898,0.7387438986271619,0.9456083873443304,-0.1761059970337897,1.1218180656433103,-0.2026073485612869,-0.1240788623690605,0.6078665249168872,-0.1459364111542701,0.0595598579496145,-0.0572674795985221,-0.5378636121749878,-0.1220001950860023
1773257640155129000,16.398129150390623,0.1496376037597656,0.0364114394111558,0.0661643707811832,-0.0011573231313377,0.0014369944110512,0.004293474368751,0.7416267605870962,0.970486150426045,-0.2580383937785401,1.0796785354614258,-0.3479999601840973,-0.1699866950511932,0.3104009971678256,-0.0862631559580564,0.0714049017831683,-0.0698033943772316,-0.4794620275497436,-0.1262986660003662
1773257640165156400,16.40815625,0.1583067209709435,0.0299385536026209,0.0723012661010027,-0.0005275956355035,0.006844229530543,0.0073179844766855,0.4966968912392854,1.0218644554857164,-0.4411592380104586,1.0283228158950806,-0.4545872807502746,-0.2150267660617828,-0.0018231237739324,-0.0582382539570331,0.0500756980285048,-0.0844664871692657,-0.3527051508426666,-0.126944750547409
1773257640175183400,16.418183349609375,0.1584849270820617,0.0112496352236717,0.0505704958081245,-0.0048930495977401,0.0049312808550894,0.0099963247776031,0.0896001914262771,1.1986082389663903,-0.6112996046381071,0.9728289842605592,-0.5299422144889832,-0.2583502829074859,-0.0913432357013225,-0.059769701308012,-0.109425420358777,-0.112821377813816,-0.2021543830633163,-0.1566871106624603
1773257640185209300,16.428209228515627,0.1426455529153347,-0.0066789297746494,0.0312596461385488,-0.0033630663529038,0.0005494696088135,0.0077325524762272,-0.3523673307597637,1.3965405756220222,-0.8284884669601916,0.8973217010498047,-0.5327915549278259,-0.3089095950126648,-0.0143798230081796,-0.1513929229944944,-0.3177750330671668,-0.1473625749349594,-0.0310082007199525,-0.2343190610408783
1773257640195236000,16.438236083984375,0.1430295837968588,-0.0172225721534341,-0.0056979193806648,-0.0028852950781583,0.0004368182271718,0.0073498571291565,-0.7135895836263895,1.4838998562537131,-1.1331974630314856,0.8222821354866028,-0.4472106099128723,-0.3982759714126587,0.0526706829577684,-0.379396207460761,-0.4303139092713594,-0.1783637702465057,0.0673443078994751,-0.3149846196174621
1773257640205262800,16.448262939453127,0.164821728888154,-0.0088156860750168,-0.0385942268103361,-0.0022845296189188,-0.0032762205228209,0.002254863269627,-0.9103069184690712,1.568611837247014,-1.1441857439052312,0.7681230306625366,-0.3313736021518707,-0.5364184379577637,0.0829401490151882,-0.4004921869814395,-0.3812774911627173,-0.1474071890115738,0.0364939831197261,-0.4119575321674347
1773257640215289900,16.458289794921875,0.172473704946041,0.0294661137852817,-0.0334662162721157,0.0007581317913718,-0.0037950044497847,0.000871617347002,-1.0516162543445824,1.6779130467042327,-0.996128979596123,0.7377116084098816,-0.1982626765966415,-0.6978707313537598,0.1429120948970317,-0.1742851382821798,-0.1803545213237404,-0.0609848350286483,0.0268808174878358,-0.5073675513267517
1773257640225316900,16.46831689453125,0.1557569634228944,0.0682209745174273,-0.0247533329844474,0.0032043550163507,0.0017313710413873,-0.0041587939485907,-1.3340841194480657,1.7570730926588176,-0.7983015646196902,0.7168049812316895,-0.0242362152785062,-0.8188130855560303,0.0681815558224916,0.0841530319362878,0.0846741332009434,0.0603743493556976,0.0046831024810671,-0.5540823340415955
